         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 minpack.py:1(<module>)
      626    0.000    0.000    0.006    0.000 transforms.py:128(invalidate)
     1159    0.001    0.000    0.006    0.000 colors.py:128(to_rgba)
        1    0.000    0.000    0.006    0.006 figure.py:267(__init__)
     1027    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:389(cached)
     1750    0.001    0.000    0.006    0.000 fromnumeric.py:1886(any)
      676    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:146(__enter__)
       28    0.000    0.000    0.006    0.000 pyparsing.py:2757(__init__)
      144    0.000    0.000    0.006    0.000 lines.py:548(set_fillstyle)
      759    0.002    0.000    0.006    0.000 path.py:212(_update_values)
       36    0.000    0.000    0.006    0.000 backend_bases.py:2847(mouse_move)
      160    0.000    0.000    0.005    0.000 cm.py:67(_generate_cmap)
        1    0.000    0.000    0.005    0.005 __init__.py:1819(inner)
        1    0.000    0.000    0.005    0.005 _axes.py:4995(imshow)
       19    0.005    0.000    0.005    0.000 {fromImage}
       26    0.000    0.000    0.005    0.000 pyparsing.py:1586(parseString)
     1868    0.000    0.000    0.005    0.000 _methods.py:37(_any)
     1266    0.004    0.000    0.005    0.000 inspect.py:2710(__init__)
  893/626    0.002    0.000    0.005    0.000 transforms.py:139(_invalidate_internal)
      108    0.000    0.000    0.005    0.000 _distn_infrastructure.py:591(__init__)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
      997    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
       64    0.001    0.000    0.005    0.000 colors.py:665(from_list)
      558    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
29800/29798    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
       19    0.000    0.000    0.005    0.000 core.py:7708(asarray)
       19    0.005    0.000    0.005    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.005    0.005 _minimize.py:8(<module>)
        1    0.000    0.000    0.005    0.005 patches.py:3(<module>)
       13    0.000    0.000    0.005    0.000 _distn_infrastructure.py:2712(_construct_docstrings)
        1    0.000    0.000    0.005    0.005 reduction.py:10(<module>)
13372/13368    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     2789    0.001    0.000    0.005    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
     1452    0.001    0.000    0.005    0.000 {built-in method builtins.any}
   506/26    0.001    0.000    0.005    0.000 pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.005    0.005 mstats_basic.py:4(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:641(__init__)
       24    0.000    0.000    0.005    0.000 axis.py:440(_get_gridline)
   146/26    0.000    0.000    0.005    0.000 pyparsing.py:3375(parseImpl)
      391    0.000    0.000    0.005    0.000 transforms.py:2471(composite_transform_factory)
  330/144    0.001    0.000    0.005    0.000 transforms.py:2392(get_affine)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
       24    0.000    0.000    0.005    0.000 axis.py:575(_get_gridline)
    14565    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
       37    0.001    0.000    0.005    0.000 text.py:739(draw)
        4    0.000    0.000    0.005    0.001 ticker.py:1784(__call__)
       24    0.000    0.000    0.005    0.000 rcsetup.py:455(validate_font_properties)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
        4    0.000    0.000    0.005    0.001 ticker.py:1788(tick_values)
       24    0.000    0.000    0.005    0.000 fontconfig_pattern.py:119(parse)
       54    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       54    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        4    0.000    0.000    0.005    0.001 ticker.py:1733(_raw_ticks)
       17    0.005    0.000    0.005    0.000 {method 'to_string_argb' of 'matplotlib.backends._backend_agg.BufferRegion' objects}
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
       23    0.000    0.000    0.004    0.000 lines.py:769(draw)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
       14    0.000    0.000    0.004    0.000 axis.py:1281(_copy_tick_props)
        1    0.000    0.000    0.004    0.004 morestats.py:1(<module>)
      469    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:850(set_data)
        1    0.000    0.000    0.004    0.004 __init__.py:1011(rc_params)
        1    0.003    0.003    0.004    0.004 <frozen importlib._bootstrap_external>:106(_write_atomic)
       26    0.000    0.000    0.004    0.000 __init__.py:905(__init__)
    11657    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    71551    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.004    0.004 iterative.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _axes.py:94(Axes)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
      391    0.001    0.000    0.004    0.000 transforms.py:2290(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
      394    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
      313    0.000    0.000    0.004    0.000 transforms.py:1173(__add__)
        1    0.000    0.000    0.004    0.004 __init__.py:56(<module>)
        1    0.000    0.000    0.004    0.004 result.py:1(<module>)
      121    0.000    0.000    0.004    0.000 transforms.py:1315(transform)
       16    0.000    0.000    0.004    0.000 rcsetup.py:805(validate_cycler)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
  220/100    0.000    0.000    0.004    0.000 _base.py:688(get_xaxis_transform)
      742    0.001    0.000    0.004    0.000 transforms.py:163(set_children)
     1247    0.001    0.000    0.004    0.000 enum.py:801(__and__)
      998    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      253    0.000    0.000    0.004    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.004    0.004 windows.py:1(<module>)
       42    0.000    0.000    0.004    0.000 lines.py:1310(update_from)
  220/100    0.000    0.000    0.004    0.000 _base.py:768(get_yaxis_transform)
       39    0.000    0.000    0.004    0.000 path.py:487(contains_point)
